gene	esophagus1	esophagus2	esophagus3	esophagus4	sigmoid_colon1	sigmoid_colon2	sigmoid_colon3	sigmoid_colon4
ENSG00000227950.1	0	0	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0	0	0
ENSG00000237402.1	0	0	1	0	0	2	8	0
ENSG00000237728.2	0	0	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0	8	0
ENSG00000270171.1	0	0	0	0	0	0	0	1
ENSG00000270035.1	1	0	0	3	0	0	0	0
ENSG00000269978.1	0	0	0	0	0	0	0	3
ENSG00000049245.12	1492	2905	2183	2254	959	1653	1760	1821
ENSG00000269925.1	8	1	22	31	7	22	15	20
ENSG00000049246.14	822	586	1462	502	1571	2398	1873	2326
ENSG00000236266.1	0	0	4	1	0	1	4	2
ENSG00000049247.13	2	30	0	4	4	0	0	0
ENSG00000049249.8	15	14	2	1	0	0	0	0
ENSG00000270330.1	0	0	0	0	0	0	0	0
ENSG00000116288.12	931	1677	1236	1605	671	1617	1505	1879
ENSG00000200344.1	0	0	0	0	0	0	0	0
ENSG00000116285.12	926	1480	3334	2561	1250	2707	3440	2581
ENSG00000238290.1	0	0	11	0	1	8	16	1
ENSG00000232848.1	0	0	1	0	0	0	0	0
ENSG00000229305.1	0	0	0	0	0	0	0	0
ENSG00000227634.2	0	0	0	0	0	0	1	0
ENSG00000200975.1	0	0	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0
ENSG00000162426.14	13	27	69	7	58	62	85	47
ENSG00000252254.1	0	0	0	0	0	6	2	0
ENSG00000142599.17	1746	1157	3097	1825	3779	4967	3981	3670
ENSG00000232912.5	0	0	14	4	26	13	27	17
ENSG00000221083.1	2	0	6	2	6	3	1	0
ENSG00000270282.1	0	0	0	0	0	0	0	0
ENSG00000234619.1	0	0	0	0	0	0	0	0
ENSG00000224315.2	3	0	34	51	23	20	25	8
ENSG00000222511.2	2	0	14	8	11	3	1	6
